title,rating,avgRating,num of ratings,score,year,directedBy,starring
"Shawshank Redemption, The (1994)",4.413576004516335,4.41985,81482,4.415374683688863,1994,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore"
"Godfather, The (1972)",4.324336165187245,4.33078,52498,4.324550117844404,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Al Martino, Alex Rocco"
Planet Earth (2006),4.464796794504865,4.4546,1747,4.278340395827444,2006,Alastair Fothergill,David Attenborough
"Usual Suspects, The (1995)",4.284353213163313,4.27727,55366,4.271757587224509,1995,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak, Kevin Spacey, Chazz Palminteri, Pete Postlethwaite, Giancarlo Esposito, Suzy Amis, Dan Hedaya, Paul Bartel, Clark Gregg, Louis Lombardi, Vito D'Ambrosio, Peter Greene"
"Godfather: Part II, The (1974)",4.2617585117585115,4.26899,34188,4.260202806640746,1974,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, Richard Bright, Bruno Kirby, Frank Sivero, Morgana King, Dominic Chianese, Troy Donahue, James Caan, Abe Vigoda, Gianni Russo, Harry Dean Stanton, Danny Aiello, Carmen Argenziano, Roger Corman"
Schindler's List (1993),4.247579083279535,4.24646,60411,4.241614508103298,1993,Steven Spielberg,"Ralph Fiennes, Ben Kingsley, Liam Neeson, Caroline Goodall, Jonathan Sagall, Embeth Davidtz"
12 Angry Men (1957),4.243014062405697,4.25591,16569,4.238325395123542,1957,Sidney Lumet,"Ed Begley, Lee J. Cobb, Henry Fonda, E.G. Marshall, Martin Balsam, John Fiedler, Jack Klugman, Ed Binns, Jack Warden, Joseph Sweeney, George Voskovec, Robert Webber"
Seven Samurai (Shichinin no samurai) (1954),4.25476920775043,4.25546,13367,4.2338031503797335,1954,Akira Kurosawa,"Takashi Shimura, Toshirô Mifune, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Katô, Isao Kimura"
Fight Club (1999),4.228310618821568,4.23547,58773,4.2305672817575335,1999,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Jared Leto, Zach Grenier, Meat Loaf, Rachel Singer, Eion Bailey"
Planet Earth II (2016),4.483096085409253,4.46924,1124,4.217641843552085,2016,,David Attenborough
Rear Window (1954),4.237947624243627,4.22711,20162,4.213175506190858,1954,Alfred Hitchcock,"James Stewart, Grace Kelly, Thelma Ritter, Wendell Corey, Raymond Burr"
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.212267265284564,4.22472,22719,4.21236852441893,2001,Hayao Miyazaki,"Rumi Hîragi, Miyu Irino, Mari Natsuki"
Band of Brothers (2001),4.398598820058997,4.41643,1356,4.21016185049893,2001,Phil Alden Robinson,"Damian Lewis,Ron Livingston,Frank John Hughes,Scott Grimes,Neal McDonough"
